"","genus_species","species","genus","family","order","publications","citations","journals","years_publishing","x","y"
"709","Cercopithecus campbelli","campbelli","Cercopithecus","Cercopithecidae","Primates",49,1895,30,50,-10.7359180926584,8.16842646807123
"710","Cercopithecus cephus","cephus","Cercopithecus","Cercopithecidae","Primates",51,1515,38,79,12.0584758904043,1.00259736699123
"711","Cercopithecus diana","diana","Cercopithecus","Cercopithecidae","Primates",85,3471,39,43,-8.66775445433742,6.67360000831684
"712","Cercopithecus dryas","dryas","Cercopithecus","Cercopithecidae","Primates",6,80,6,31,25,-2.00121958443328
"713","Cercopithecus erythrogaster","erythrogaster","Cercopithecus","Cercopithecidae","Primates",11,124,9,37,4.59637263907872,6.60804748804193
"714","Cercopithecus erythrotis","erythrotis","Cercopithecus","Cercopithecidae","Primates",14,381,11,37,10,3.00045740230187
"715","Cercopithecus hamlyni","hamlyni","Cercopithecus","Cercopithecidae","Primates",8,104,7,35,29,-3.00045740230187
"716","Cercopithecus lhoesti","lhoesti","Cercopithecus","Cercopithecidae","Primates",32,924,24,34,29.7998048347546,-0.600940784397507
"717","Cercopithecus lomamiensis","lomamiensis","Cercopithecus","Cercopithecidae","Primates",2,39,2,10,25,-1.27222187258541e-14
"718","Cercopithecus mitis","mitis","Cercopithecus","Cercopithecidae","Primates",230,6182,83,61,37.6675489425675,-2.34309525372008
"719","Cercopithecus mona","mona","Cercopithecus","Cercopithecidae","Primates",55,1188,43,151,2.2503912952161,7.76209897799704
"720","Cercopithecus neglectus","neglectus","Cercopithecus","Cercopithecidae","Primates",58,1357,40,50,32.5543207471962,1.00096588189723
"721","Cercopithecus nictitans","nictitans","Cercopithecus","Cercopithecidae","Primates",75,2271,47,75,11.3321566064003,1.78389790695026
"722","Cercopithecus petaurista","petaurista","Cercopithecus","Cercopithecidae","Primates",17,442,12,42,-5,6.57806711343597
"723","Cercopithecus pogonias","pogonias","Cercopithecus","Cercopithecidae","Primates",28,951,21,41,15.4454702646692,3.00167887297749
"724","Cercopithecus preussi","preussi","Cercopithecus","Cercopithecidae","Primates",8,318,7,101,11,3.00045740230187
"725","Cercopithecus sclateri","sclateri","Cercopithecus","Cercopithecidae","Primates",10,125,9,33,7,5.00076357997974
"726","Cercopithecus solatus","solatus","Cercopithecus","Cercopithecidae","Primates",22,298,19,34,13,-1
"727","Cerdocyon thous","thous","Cerdocyon","Canidae","Carnivora",340,5290,152,69,-51.6817781133091,-23.0552846238826
"728","Cerradomys akroai","akroai","Cerradomys","Cricetidae","Rodentia",0,0,0,NA,NA,NA
"729","Cerradomys goytaca","goytaca","Cerradomys","Cricetidae","Rodentia",6,7,5,7,-41.0000000000002,-22.014111041686
"730","Cerradomys langguthi","langguthi","Cerradomys","Cricetidae","Rodentia",4,31,4,9,-40.3325182860368,-6.33676233294075
"731","Cerradomys maracajuensis","maracajuensis","Cerradomys","Cricetidae","Rodentia",4,56,4,14,-63.9999999999999,-13.0020149689629
"732","Cerradomys marinhus","marinhus","Cerradomys","Cricetidae","Rodentia",0,0,0,NA,NA,NA
"733","Cerradomys scotti","scotti","Cerradomys","Cricetidae","Rodentia",4,34,4,12,-60.9999999999996,-15.0023386074296
"734","Cerradomys subflavus","subflavus","Cerradomys","Cricetidae","Rodentia",16,189,14,14,-40.6518803089034,-16.1884135104162
"735","Cerradomys vivoi","vivoi","Cerradomys","Cricetidae","Rodentia",4,4,4,6,-40.9999999999999,-18.0113479632783
"736","Cervus albirostris","albirostris","Cervus","Cervidae","Artiodactyla",31,386,24,36,95.9886514370524,33.0397336923332
"737","Cervus elaphus","elaphus","Cervus","Cervidae","Artiodactyla",5998,190296,1240,124,11.0766865720816,58.1098707875103
"738","Cervus nippon","nippon","Cervus","Cervidae","Artiodactyla",1240,14730,436,62,-0.857520252882205,52.7889038203782
"739","Cervus wallichi","wallichi","Cervus",NA,NA,0,0,0,NA,NA,NA
"740","Chacodelphys formosa","formosa","Chacodelphys","Didelphidae","Didelphimorphia",1,8,1,6,NA,NA
"741","Chaerephon aloysiisabaudiae","aloysiisabaudiae","Chaerephon","Molossidae","Chiroptera",2,2,2,3,31,2.00121958443327
"742","Chaerephon ansorgei","ansorgei","Chaerephon","Molossidae","Chiroptera",4,42,3,23,29.6661238563323,3.66884015003933
"743","Chaerephon atsinanana","atsinanana","Chaerephon","Molossidae","Chiroptera",3,24,3,12,47.7361986599781,-20.0772036580493
"744","Chaerephon bemmeleni","bemmeleni","Chaerephon","Molossidae","Chiroptera",1,7,1,18,37,-1.00015234351659
"745","Chaerephon bivittatus","bivittatus","Chaerephon","Molossidae","Chiroptera",1,5,1,6,36.6,-0.200040221629707
"746","Chaerephon bregullae","bregullae","Chaerephon","Molossidae","Chiroptera",2,25,1,15,179,-17
"747","Chaerephon chapini","chapini","Chaerephon","Molossidae","Chiroptera",3,47,3,18,32,-13.0020149689629
"748","Chaerephon gallagheri","gallagheri","Chaerephon","Molossidae","Chiroptera",0,0,0,NA,NA,NA
"749","Chaerephon jobensis","jobensis","Chaerephon","Molossidae","Chiroptera",5,77,5,34,132.663040159627,-14.679277680769
"750","Chaerephon johorensis","johorensis","Chaerephon","Molossidae","Chiroptera",3,32,3,19,111,1.00015234351658
"751","Chaerephon major","major","Chaerephon","Molossidae","Chiroptera",0,0,0,NA,30.6652380478912,4.33883830869091
"752","Chaerephon nigeriae","nigeriae","Chaerephon","Molossidae","Chiroptera",3,48,3,18,23.664729199553,-13.6745918862741
"753","Chaerephon plicatus","plicatus","Chaerephon","Molossidae","Chiroptera",19,93,14,14,101,14.2084807405088
"754","Chaerephon pumilus","pumilus","Chaerephon","Molossidae","Chiroptera",24,679,15,22,38.0004573209233,-0.500476569813552
"755","Chaerephon russatus","russatus","Chaerephon","Molossidae","Chiroptera",0,0,0,NA,37,-1.00015234351659
"756","Chaerephon solomonis","solomonis","Chaerephon","Molossidae","Chiroptera",0,0,0,NA,159,-9
"757","Chaerephon tomensis","tomensis","Chaerephon","Molossidae","Chiroptera",1,27,1,28,7,1
"758","Chaeropus ecaudatus","ecaudatus","Chaeropus","Chaeropodidae","Peramelemorphia",13,244,9,45,130.432189035299,-23.8992995535856
"759","Chaetocauda sichuanensis","sichuanensis","Chaetocauda","Gliridae","Rodentia",2,7,2,5,NA,NA
"760","Chaetodipus arenarius","arenarius","Chaetodipus","Heteromyidae","Rodentia",7,52,7,32,-113.355810685428,27.7387202886322
"761","Chaetodipus artus","artus","Chaetodipus","Heteromyidae","Rodentia",0,0,0,NA,-108.425155724041,26.6868992006693
"762","Chaetodipus baileyi","baileyi","Chaetodipus","Heteromyidae","Rodentia",15,519,12,37,-112.010910217109,32.0218257326876
"763","Chaetodipus californicus","californicus","Chaetodipus","Heteromyidae","Rodentia",6,153,6,32,-118.820011206542,34.8541995900719
"764","Chaetodipus dalquesti","dalquesti","Chaetodipus","Heteromyidae","Rodentia",2,13,2,11,-111.67011257688,24.3476247750976
"765","Chaetodipus eremicus","eremicus","Chaetodipus","Heteromyidae","Rodentia",3,32,3,26,-104.788360451381,29.4394792670015
"766","Chaetodipus fallax","fallax","Chaetodipus","Heteromyidae","Rodentia",10,264,8,34,-114.329220087559,28.350381789568
"767","Chaetodipus formosus","formosus","Chaetodipus","Heteromyidae","Rodentia",11,299,8,40,-116.331263660224,35.4959767954641
"768","Chaetodipus goldmani","goldmani","Chaetodipus","Heteromyidae","Rodentia",0,0,0,NA,-109.601217331914,28.5243736925372
"769","Chaetodipus hispidus","hispidus","Chaetodipus","Heteromyidae","Rodentia",35,483,17,42,-100.968544739575,34.0708271654101
"770","Chaetodipus intermedius","intermedius","Chaetodipus","Heteromyidae","Rodentia",11,960,11,27,-110.406185773471,33.4349480597752
"771","Chaetodipus lineatus","lineatus","Chaetodipus","Heteromyidae","Rodentia",0,0,0,NA,-101.00705397089,22.0141110416857
"772","Chaetodipus nelsoni","nelsoni","Chaetodipus","Heteromyidae","Rodentia",8,25,6,23,-103.41289089139,22.6284281312145
"773","Chaetodipus penicillatus","penicillatus","Chaetodipus","Heteromyidae","Rodentia",24,425,17,37,-112.804393389805,31.9533515705992
"774","Chaetodipus pernix","pernix","Chaetodipus","Heteromyidae","Rodentia",0,0,0,NA,-108.529394176762,26.0682587351123
"775","Chaetodipus rudinoris","rudinoris","Chaetodipus","Heteromyidae","Rodentia",3,232,3,22,-113.584640261222,28.02971713717
"776","Chaetodipus spinatus","spinatus","Chaetodipus","Heteromyidae","Rodentia",17,1336,12,32,-113.589082885758,29.4200164923872
"777","Chaetomys subspinosus","subspinosus","Chaetomys","Erethizontidae","Rodentia",25,234,20,28,-41.0000000000001,-20.0127119247471
"778","Chaetophractus nationi","nationi","Chaetophractus","Chlamyphoridae","Cingulata",4,48,4,28,-69.0000000000001,-16.0100146374084
"779","Chaetophractus vellerosus","vellerosus","Chaetophractus","Chlamyphoridae","Cingulata",56,637,36,36,-64.8892080726387,-29.2474911971171
"780","Chaetophractus villosus","villosus","Chaetophractus","Chlamyphoridae","Cingulata",127,1388,78,54,-62.8911575092309,-37.6349962394495
"781","Chalinolobus dwyeri","dwyeri","Chalinolobus","Vespertilionidae","Chiroptera",5,10,4,24,149.243740477412,-33.2972573672611
"782","Chalinolobus gouldii","gouldii","Chalinolobus","Vespertilionidae","Chiroptera",56,1171,34,47,150.809497853111,-32.131610941013
"783","Chalinolobus morio","morio","Chalinolobus","Vespertilionidae","Chiroptera",24,544,15,56,150.121308216102,-32.5341867840991
"784","Chalinolobus neocaledonicus","neocaledonicus","Chalinolobus","Vespertilionidae","Chiroptera",0,0,0,NA,165,-21
"785","Chalinolobus nigrogriseus","nigrogriseus","Chalinolobus","Vespertilionidae","Chiroptera",4,64,3,40,149.672984123717,-24.1943517468102
"786","Chalinolobus picatus","picatus","Chalinolobus","Vespertilionidae","Chiroptera",5,43,4,17,145.857190614614,-32.0801833492312
"787","Chalinolobus tuberculatus","tuberculatus","Chalinolobus","Vespertilionidae","Chiroptera",53,1442,23,48,174.76175938281,-38.7086790759694
"788","Cheirogaleus crossleyi","crossleyi","Cheirogaleus","Cheirogaleidae","Primates",10,154,9,17,48.1917116310733,-18.2381563472397
"789","Cheirogaleus lavasoensis","lavasoensis","Cheirogaleus","Cheirogaleidae","Primates",0,0,0,NA,NA,NA
"790","Cheirogaleus major","major","Cheirogaleus","Cheirogaleidae","Primates",25,848,14,35,47.9818885612504,-19.1301265429888
"791","Cheirogaleus medius","medius","Cheirogaleus","Cheirogaleidae","Primates",90,2402,49,56,45.8542320483799,-17.6099035545761
"792","Cheirogaleus minusculus","minusculus","Cheirogaleus","Cheirogaleidae","Primates",1,11,1,11,47,-21
"793","Cheirogaleus sibreei","sibreei","Cheirogaleus","Cheirogaleidae","Primates",6,136,6,22,49,-19
"794","Cheiromeles parvidens","parvidens","Cheiromeles","Molossidae","Chiroptera",0,0,0,NA,121,13
"795","Cheiromeles torquatus","torquatus","Cheiromeles","Molossidae","Chiroptera",8,115,8,136,101.998780166255,2.66950088692372
"796","Chelemys delfini","delfini","Chelemys","Cricetidae","Rodentia",0,0,0,NA,NA,NA
"797","Chelemys macronyx","macronyx","Chelemys","Cricetidae","Rodentia",8,100,7,17,-71.6736485853453,-42.4578428754972
"798","Chelemys megalonyx","megalonyx","Chelemys","Cricetidae","Rodentia",2,11,2,12,-71.0000000000005,-32.0218257326877
"799","Chibchanomys orcesi","orcesi","Chibchanomys","Cricetidae","Rodentia",0,0,0,NA,-79,-3
"800","Chibchanomys trichotis","trichotis","Chibchanomys","Cricetidae","Rodentia",0,0,0,NA,-77.0000000000003,-9.00138234307663
"801","Chilomys instans","instans","Chilomys","Cricetidae","Rodentia",3,18,3,6,-75,6.00367070585999
"802","Chilonatalus micropus","micropus","Chilonatalus","Natalidae","Chiroptera",2,19,2,9,-70.9999999999999,18.5092971585219
"803","Chilonatalus tumidifrons","tumidifrons","Chilonatalus","Natalidae","Chiroptera",0,0,0,NA,-76.6063085747173,25.0236362022273
"804","Chimarrogale hantu","hantu","Chimarrogale","Soricidae","Eulipotyphla",2,0,2,9,NA,NA
"805","Chimarrogale himalayica","himalayica","Chimarrogale","Soricidae","Eulipotyphla",7,100,7,27,103.000000000001,22.014111041686
"806","Chimarrogale phaeura","phaeura","Chimarrogale","Soricidae","Eulipotyphla",1,13,1,9,117,7
"807","Chimarrogale platycephalus","platycephalus","Chimarrogale","Soricidae","Eulipotyphla",4,4,3,6,NA,NA
"808","Chimarrogale styani","styani","Chimarrogale","Soricidae","Eulipotyphla",1,13,1,9,NA,NA
"809","Chimarrogale sumatrana","sumatrana","Chimarrogale","Soricidae","Eulipotyphla",0,0,0,NA,NA,NA
"810","Chinchilla chinchilla","chinchilla","Chinchilla","Chinchillidae","Rodentia",272,3096,153,64,-76.9999999999989,-11.0016965084063
"811","Chinchilla lanigera","lanigera","Chinchilla","Chinchillidae","Rodentia",264,2562,153,59,-23.9999999999997,8.996944266304
"812","Chinchillula sahamae","sahamae","Chinchillula","Cricetidae","Rodentia",3,16,1,51,-70.5975945868207,-15.8096818658058
"813","Chionomys gud","gud","Chionomys","Cricetidae","Rodentia",9,69,9,23,45.0000000000006,42.0314537704686
"814","Chionomys nivalis","nivalis","Chionomys","Cricetidae","Rodentia",82,804,67,68,6.00486951510433,45.0850305549188
"815","Chionomys roberti","roberti","Chionomys","Cricetidae","Rodentia",7,75,7,23,39,41
"816","Chiroderma doriae","doriae","Chiroderma","Phyllostomidae","Chiroptera",11,168,9,19,-46.593256728051,-22.6103853051777
"817","Chiroderma improvisum","improvisum","Chiroderma","Phyllostomidae","Chiroptera",5,79,4,26,-62,17.0026683611809
"818","Chiroderma salvini","salvini","Chiroderma","Phyllostomidae","Chiroptera",8,100,6,15,-96.1970767844498,17.5086696631664
"819","Chiroderma trinitatum","trinitatum","Chiroderma","Phyllostomidae","Chiroptera",4,28,3,10,-72.6393984482991,4.46182662584521
"820","Chiroderma villosum","villosum","Chiroderma","Phyllostomidae","Chiroptera",18,160,16,19,-89.0024391155918,17.0632118084404
"821","Chiroderma vizottoi","vizottoi","Chiroderma","Phyllostomidae","Chiroptera",3,22,3,7,NA,NA
"822","Chiromyscus chiropus","chiropus","Chiromyscus","Muridae","Rodentia",2,12,2,27,98.9999999999995,7.00107163467523
"823","Chiromyscus langbianis","langbianis","Chiromyscus","Muridae","Rodentia",2,0,2,4,103,11.0016965084064
"824","Chiromyscus thomasi","thomasi","Chiromyscus","Muridae","Rodentia",0,0,0,NA,NA,NA
"825","Chironax melanocephalus","melanocephalus","Chironax","Pteropodidae","Chiroptera",4,81,4,33,120.500152463549,-1.00106754317191
"826","Chironectes minimus","minimus","Chironectes","Didelphidae","Didelphimorphia",38,431,24,70,-76.0584912196861,3.60469121206716
"827","Chiropodomys calamianensis","calamianensis","Chiropodomys","Muridae","Rodentia",0,0,0,NA,117.667756289994,8.337895539712
"828","Chiropodomys gliroides","gliroides","Chiropodomys","Muridae","Rodentia",7,37,7,55,94.2122833052598,25.8165066073683
"829","Chiropodomys karlkoopmani","karlkoopmani","Chiropodomys","Muridae","Rodentia",0,0,0,NA,NA,NA
"830","Chiropodomys major","major","Chiropodomys","Muridae","Rodentia",1,52,1,18,117,5
"831","Chiropodomys muroides","muroides","Chiropodomys","Muridae","Rodentia",0,0,0,NA,NA,NA
"832","Chiropodomys pusillus","pusillus","Chiropodomys","Muridae","Rodentia",0,0,0,NA,117,7
"833","Chiropotes albinasus","albinasus","Chiropotes","Pitheciidae","Primates",10,172,8,33,-57.3970392253236,-9.40438941318825
"834","Chiropotes chiropotes","chiropotes","Chiropotes","Pitheciidae","Primates",5,63,5,10,-58.3319095939122,1.83751661419824
"835","Chiropotes satanas","satanas","Chiropotes","Pitheciidae","Primates",43,1717,19,57,-59,2.00121958443327
"836","Chiropotes utahickae","utahickae","Chiropotes","Pitheciidae","Primates",2,13,1,11,-50,-7.00107163467528
"837","Chiruromys forbesi","forbesi","Chiruromys","Muridae","Rodentia",1,1,1,1,NA,NA
"838","Chiruromys lamia","lamia","Chiruromys","Muridae","Rodentia",0,0,0,NA,149,-9
"839","Chiruromys vates","vates","Chiruromys","Muridae","Rodentia",3,32,3,11,151.000000000003,-11.0016965084066
"840","Chlamyphorus truncatus","truncatus","Chlamyphorus","Chlamyphoridae","Cingulata",14,322,13,165,-67.1533323369515,-33.7002179954683
"841","Chlorocebus aethiops","aethiops","Chlorocebus","Cercopithecidae","Primates",10114,0,1359,77,38.9975502847901,10.1442188520199
"842","Chlorocebus cynosuros","cynosuros","Chlorocebus","Cercopithecidae","Primates",4,23,4,6,24.5432356576512,-16.8049027980637
"843","Chlorocebus djamdjamensis","djamdjamensis","Chlorocebus","Cercopithecidae","Primates",10,193,6,12,39,7
"844","Chlorocebus pygerythrus","pygerythrus","Chlorocebus","Cercopithecidae","Primates",131,1416,71,22,35.2374379016864,-3.36254303029653
"845","Chlorocebus sabaeus","sabaeus","Chlorocebus","Cercopithecidae","Primates",153,2256,113,17,-14.3418736520765,12.3555020657105
"846","Chlorocebus tantalus","tantalus","Chlorocebus","Cercopithecidae","Primates",9,136,8,13,5.81946791626278,9.13626745505957
"847","Chlorotalpa duthieae","duthieae","Chlorotalpa","Chrysochloridae",NA,0,0,0,NA,23.6718804528403,-34.3549301073093
"848","Chlorotalpa sclateri","sclateri","Chlorotalpa","Chrysochloridae",NA,0,0,0,NA,24.9999999999999,-31.0052443078995
"849","Chodsigoa caovansunga","caovansunga","Chodsigoa","Soricidae","Eulipotyphla",1,2,1,10,NA,NA
"850","Chodsigoa hypsibia","hypsibia","Chodsigoa","Soricidae","Eulipotyphla",2,11,2,5,NA,NA
"851","Chodsigoa lamula","lamula","Chodsigoa","Soricidae","Eulipotyphla",1,11,1,5,NA,NA
"852","Chodsigoa parca","parca","Chodsigoa","Soricidae","Eulipotyphla",1,11,1,5,107,25
"853","Chodsigoa parva","parva","Chodsigoa","Soricidae","Eulipotyphla",0,0,0,NA,NA,NA
"854","Chodsigoa salenskii","salenskii","Chodsigoa","Soricidae","Eulipotyphla",0,0,0,NA,101,29
"855","Chodsigoa smithii","smithii","Chodsigoa","Soricidae","Eulipotyphla",0,0,0,NA,NA,NA
"856","Chodsigoa sodalis","sodalis","Chodsigoa","Soricidae","Eulipotyphla",2,16,1,25,121,23
"857","Choeroniscus godmani","godmani","Choeroniscus","Phyllostomidae","Chiroptera",5,64,5,27,-90.227048184122,14.9486657610628
"858","Choeroniscus minor","minor","Choeroniscus","Phyllostomidae","Chiroptera",6,438,4,28,-60.1469969038899,3.86518294331262
"859","Choeroniscus periosus","periosus","Choeroniscus","Phyllostomidae","Chiroptera",0,0,0,NA,-77,5
"860","Choeronycteris mexicana","mexicana","Choeronycteris","Phyllostomidae","Chiroptera",37,843,24,55,-100.202547627453,22.1272340457882
"861","Choeropsis liberiensis","liberiensis","Choeropsis","Hippopotamidae","Artiodactyla",66,861,43,85,-9.33605349532099,7.00965460497082
"862","Choloepus didactylus","didactylus","Choloepus","Megalonychidae","Pilosa",72,777,56,84,-75.2224254197908,3.57457513766042
"863","Choloepus hoffmanni","hoffmanni","Choloepus","Megalonychidae","Pilosa",99,1227,64,94,-79.3453240720188,8.61992082104968
"864","Chrotogale owstoni","owstoni","Chrotogale","Viverridae","Carnivora",10,135,8,25,103.663524179487,21.6795595463584
"865","Chrotomys gonzalesi","gonzalesi","Chrotomys","Muridae","Rodentia",1,68,1,31,123,13
"866","Chrotomys mindorensis","mindorensis","Chrotomys","Muridae","Rodentia",2,27,2,15,121.800111512066,15.0248137352392
"867","Chrotomys sibuyanensis","sibuyanensis","Chrotomys","Muridae","Rodentia",0,0,0,NA,123,13
"868","Chrotomys silaceus","silaceus","Chrotomys","Muridae","Rodentia",0,0,0,NA,120.999999999999,18.0113479632782
"869","Chrotomys whiteheadi","whiteheadi","Chrotomys","Muridae","Rodentia",0,0,0,NA,121.66918313862,18.3437860757943
"870","Chrotopterus auritus","auritus","Chrotopterus","Phyllostomidae","Chiroptera",27,513,21,46,-49.4759570779613,-24.2052530219563
"871","Chrysochloris asiatica","asiatica","Chrysochloris","Chrysochloridae",NA,23,292,21,62,21,-33.2972573672615
"872","Chrysochloris stuhlmanni","stuhlmanni","Chrysochloris","Chrysochloridae",NA,5,26,4,51,29.5003048341465,-1.50165798895346
"873","Chrysochloris visagiei","visagiei","Chrysochloris","Chrysochloridae",NA,0,0,0,NA,NA,NA
"874","Chrysocyon brachyurus","brachyurus","Chrysocyon","Canidae","Carnivora",286,4306,146,95,-45.9965499540704,-19.5912481617869
"875","Chrysospalax trevelyani","trevelyani","Chrysospalax","Chrysochloridae",NA,4,26,4,40,27,-33
"876","Chrysospalax villosus","villosus","Chrysospalax","Chrysochloridae",NA,0,0,0,NA,NA,NA
"877","Cistugo lesueuri","lesueuri","Cistugo","Vespertilionidae","Chiroptera",1,69,1,18,-9,5
"878","Cistugo seabrae","seabrae","Cistugo","Vespertilionidae","Chiroptera",2,6,2,4,19,-29
"879","Civettictis civetta","civetta","Civettictis","Viverridae","Carnivora",47,872,39,51,35.8903687245739,-2.56672251674395
"880","Cloeotis percivali","percivali","Cloeotis","Rhinonycteridae","Chiroptera",8,62,5,43,30.336797147536,-23.6808839089493
"881","Clyomys bishopi","bishopi","Clyomys","Echimyidae","Rodentia",9,167,9,25,NA,NA
"882","Clyomys laticeps","laticeps","Clyomys","Echimyidae","Rodentia",19,197,19,47,-56.9999999999994,-23.0037047626265
"883","Coccymys albidens","albidens","Coccymys","Muridae","Rodentia",0,0,0,NA,NA,NA
"884","Coccymys kirrhos","kirrhos","Coccymys","Muridae","Rodentia",0,0,0,NA,NA,NA
"885","Coccymys ruemmleri","ruemmleri","Coccymys","Muridae","Rodentia",2,36,2,27,141,-5.00076357997971
"886","Coelodonta antiquitatis","antiquitatis","Coelodonta","Rhinocerotidae","Perissodactyla",160,3647,65,56,3,53.1044715007304
"887","Coelops frithii","frithii","Coelops","Hipposideridae","Chiroptera",2,46,2,13,101,6.00367070585999
"888","Coelops hirsutus","hirsutus","Coelops","Hipposideridae","Chiroptera",0,0,0,NA,121.496568843965,14.5214453830913
"889","Coelops robinsoni","robinsoni","Coelops","Hipposideridae","Chiroptera",0,0,0,NA,113,3.00045740230187
"890","Coendou baturitensis","baturitensis","Coendou",NA,NA,0,0,0,NA,-39,-5
"891","Coendou bicolor","bicolor","Coendou","Erethizontidae","Rodentia",3,27,3,9,-70.331686048135,-12.3401974084554
"892","Coendou ichillus","ichillus","Coendou","Erethizontidae","Rodentia",4,31,4,7,NA,NA
"893","Coendou insidiosus","insidiosus","Coendou","Erethizontidae","Rodentia",3,36,3,55,-40,-19.0030052338494
"894","Coendou melanurus","melanurus","Coendou","Erethizontidae","Rodentia",4,295,4,29,-53.667209035396,4.33563706315322
"895","Coendou mexicanus","mexicanus","Coendou","Erethizontidae","Rodentia",3,14,3,26,-90.6960918870871,15.797105172665
"896","Coendou nycthemera","nycthemera","Coendou","Erethizontidae","Rodentia",3,18,3,23,-51,-7
"897","Coendou prehensilis","prehensilis","Coendou","Erethizontidae","Rodentia",36,437,27,86,-73.9097979189622,7.38397399291758
"898","Coendou pruinosus","pruinosus","Coendou","Erethizontidae","Rodentia",0,0,0,NA,-73.0000000000002,6.00367070585999
"899","Coendou quichua","quichua","Coendou","Erethizontidae","Rodentia",2,6,2,5,-73.7989193192715,6.60804748804193
"900","Coendou roosmalenorum","roosmalenorum","Coendou",NA,NA,0,0,0,NA,NA,NA
"901","Coendou rufescens","rufescens","Coendou","Erethizontidae","Rodentia",6,28,6,4,-75.2475940468702,4.50796506794173
"902","Coendou speratus","speratus","Coendou","Erethizontidae","Rodentia",3,15,2,9,-35,-9
"903","Coendou spinosus","spinosus","Coendou","Erethizontidae","Rodentia",5,7,5,5,-48.5952803921735,-26.3545311750611
"904","Coendou vestitus","vestitus","Coendou","Erethizontidae","Rodentia",4,6,4,3,-73,7
"905","Coleura afra","afra","Coleura","Emballonuridae","Chiroptera",12,267,11,14,38.3344175742903,-2.33648688482321
"906","Coleura kibomalandy","kibomalandy","Coleura","Emballonuridae","Chiroptera",0,0,0,NA,49,-14.0087077749104
"907","Coleura seychellensis","seychellensis","Coleura","Emballonuridae","Chiroptera",7,65,7,43,NA,NA
"908","Colobus angolensis","angolensis","Colobus","Cercopithecidae","Primates",67,1400,30,48,37.8000975588226,1.40141375875452
"909","Colobus guereza","guereza","Colobus","Cercopithecidae","Primates",206,8642,89,157,31.2852662490862,1.00119824039862
"910","Colobus polykomos","polykomos","Colobus","Cercopithecidae","Primates",75,1761,36,75,-6.09228156325426,6.64380579542747
"911","Colobus satanas","satanas","Colobus","Cercopithecidae","Primates",21,1227,13,44,10.4285720367071,0.717032720530364
"912","Colobus vellerosus","vellerosus","Colobus","Cercopithecidae","Primates",53,997,22,41,-0.772115374727651,7.45764255625247
"913","Colomys goslingi","goslingi","Colomys","Muridae","Rodentia",5,46,4,21,27.4442637652691,-0.111630745647637
"914","Condylura cristata","cristata","Condylura","Talpidae","Eulipotyphla",44,901,34,73,-79.87574549677,45.1781371092966
"915","Conepatus chinga","chinga","Conepatus","Mephitidae","Carnivora",60,999,48,47,-58.5636438681032,-32.4870221964862
"916","Conepatus humboldtii","humboldtii","Conepatus","Mephitidae","Carnivora",3,30,3,21,-68.2137049098383,-42.334164817472
"917","Conepatus leuconotus","leuconotus","Conepatus","Mephitidae","Carnivora",14,109,11,49,-105.845976898179,31.8157835339799
"918","Conepatus semistriatus","semistriatus","Conepatus","Mephitidae","Carnivora",23,452,20,17,-92.2290451996913,18.4164621413111
"919","Congosorex phillipsorum","phillipsorum","Congosorex","Soricidae","Eulipotyphla",0,0,0,NA,37,-7
"920","Congosorex polli","polli","Congosorex","Soricidae","Eulipotyphla",0,0,0,NA,NA,NA
"921","Congosorex verheyeni","verheyeni","Congosorex","Soricidae","Eulipotyphla",0,0,0,NA,15,1.00015234351658
"922","Conilurus albipes","albipes","Conilurus","Muridae","Rodentia",6,60,6,22,140.999999999997,-38.0272909449606
"923","Conilurus penicillatus","penicillatus","Conilurus","Muridae","Rodentia",22,388,14,35,132,-11.0016965084064
"924","Connochaetes gnou","gnou","Connochaetes","Bovidae","Artiodactyla",71,1127,52,62,25.9610154671538,-29.1725287041376
"925","Connochaetes taurinus","taurinus","Connochaetes","Bovidae","Artiodactyla",312,11257,137,62,28.5020538162882,-23.5235156370639
"926","Cormura brevirostris","brevirostris","Cormura","Emballonuridae","Chiroptera",11,266,10,39,-57.3098088102729,4.08385866299925
"927","Corynorhinus mexicanus","mexicanus","Corynorhinus","Vespertilionidae","Chiroptera",12,120,10,24,-102.944070761764,23.1195089204633
"928","Corynorhinus rafinesquii","rafinesquii","Corynorhinus","Vespertilionidae","Chiroptera",53,612,27,75,-85.8956236512888,34.3815496478531
"929","Corynorhinus townsendii","townsendii","Corynorhinus","Vespertilionidae","Chiroptera",78,1006,33,35,-116.32462695271,39.2022852507701
"930","Coryphomys buehleri","buehleri","Coryphomys","Muridae","Rodentia",1,42,1,12,NA,NA
"931","Craseonycteris thonglongyai","thonglongyai","Craseonycteris","Craseonycteridae","Chiroptera",9,204,8,29,99,15
"932","Crateromys australis","australis","Crateromys","Muridae","Rodentia",1,6,1,26,125,11
"933","Crateromys heaneyi","heaneyi","Crateromys","Muridae","Rodentia",1,1,1,24,123,11
"934","Crateromys paulus","paulus","Crateromys","Muridae","Rodentia",2,10,2,26,NA,NA
"935","Crateromys schadenbergi","schadenbergi","Crateromys","Muridae","Rodentia",1,6,1,26,121,17
"936","Cratogeomys castanops","castanops","Cratogeomys","Geomyidae","Rodentia",7,74,5,22,-103.803400113659,32.194694288081
"937","Cratogeomys fulvescens","fulvescens","Cratogeomys","Geomyidae","Rodentia",1,2,1,9,-97,19
