"","genus_species","species","genus","family","order","publications","citations","journals","years_publishing","x","y"
"56","Aegialomys xanthaeolus","xanthaeolus","Aegialomys","Cricetidae","Rodentia",2,29,2,11,-78.7913752832091,-6.64404921232827
"57","Aepeomys lugens","lugens","Aepeomys","Cricetidae","Rodentia",2,5,2,21,-71,9
"58","Aepeomys reigi","reigi","Aepeomys","Cricetidae","Rodentia",1,23,1,7,NA,NA
"59","Aepyceros melampus","melampus","Aepyceros","Bovidae","Artiodactyla",593,16086,236,59,36.7493127027137,-1.75336571166765
"60","Aepyprymnus rufescens","rufescens","Aepyprymnus","Potoroidae","Diprotodontia",41,1291,28,47,149.300740883808,-23.9868633647341
"61","Aeretes melanopterus","melanopterus","Aeretes","Sciuridae","Rodentia",2,7,2,15,112.999999999999,23.0037047626266
"62","Aeromys tephromelas","tephromelas","Aeromys","Sciuridae","Rodentia",1,3,1,51,101.500916178931,3.50188980518721
"63","Aeromys thomasi","thomasi","Aeromys","Sciuridae","Rodentia",1,8,1,16,117.665850621697,5.66996720456175
"64","Aethalops aequalis","aequalis","Aethalops","Pteropodidae","Chiroptera",1,11,1,29,115,5
"65","Aethalops alecto","alecto","Aethalops","Pteropodidae","Chiroptera",4,65,3,33,102,5.00076357997974
"66","Aethomys bocagei","bocagei","Aethomys","Muridae","Rodentia",1,7,1,17,14.2724097175001,-9.03164365549672
"67","Aethomys chrysophilus","chrysophilus","Aethomys","Muridae","Rodentia",41,602,22,44,NA,NA
"68","Aethomys granti","granti","Aethomys","Muridae","Rodentia",5,52,5,24,19,-33
"69","Aethomys hindei","hindei","Aethomys","Muridae","Rodentia",4,34,4,46,33.3982094879074,1.40307820147786
"70","Aethomys ineptus","ineptus","Aethomys","Muridae","Rodentia",16,256,9,24,30.336797147536,-23.6808839089493
"71","Aethomys kaiseri","kaiseri","Aethomys","Muridae","Rodentia",9,160,8,60,30.1999024411774,-1.40141375875452
"72","Aethomys namaquensis","namaquensis","Aethomys","Muridae","Rodentia",75,936,54,52,25.0000000000001,-33.0056680518073
"73","Aethomys nyikae","nyikae","Aethomys","Muridae","Rodentia",3,50,3,56,33.0069038973345,-13.0323552665133
"74","Aethomys silindensis","silindensis","Aethomys","Muridae","Rodentia",4,52,4,24,33,-19
"75","Aethomys stannarius","stannarius","Aethomys","Muridae","Rodentia",1,7,1,17,15,5.00076357997974
"76","Aethomys thomasi","thomasi","Aethomys","Muridae","Rodentia",1,7,1,17,NA,NA
"77","Ailuropoda melanoleuca","melanoleuca","Ailuropoda","Ursidae","Carnivora",1151,20544,390,94,109.007053970892,22.014111041686
"78","Ailurops melanotis","melanotis","Ailurops","Phalangeridae","Diprotodontia",2,3,1,3,NA,NA
"79","Ailurops ursinus","ursinus","Ailurops","Phalangeridae","Diprotodontia",10,113,7,28,121.998474433337,-2.25621358358852
"80","Ailurus fulgens","fulgens","Ailurus","Ailuridae","Carnivora",268,5303,130,153,101.804552331033,29.4375786249014
"81","Akodon aerosus","aerosus","Akodon","Cricetidae","Rodentia",4,46,4,9,-78.1981418177357,-4.20818110789088
"82","Akodon affinis","affinis","Akodon","Cricetidae","Rodentia",2,1,2,8,-75.4989304222691,4.50682635751026
"83","Akodon albiventer","albiventer","Akodon","Cricetidae","Rodentia",3,32,3,20,-67.1451784032498,-19.9904048630074
"84","Akodon aliquantulus","aliquantulus","Akodon","Cricetidae","Rodentia",4,73,4,17,-65,-27
"85","Akodon azarae","azarae","Akodon","Cricetidae","Rodentia",191,2870,102,55,-58.6920902683221,-34.2063433322356
"86","Akodon bogotensis","bogotensis","Akodon","Cricetidae","Rodentia",3,18,3,9,-71.0000000000005,9.00138234307667
"87","Akodon boliviensis","boliviensis","Akodon","Cricetidae","Rodentia",16,205,14,32,-66.0712900215659,-17.9452478735362
"88","Akodon budini","budini","Akodon","Cricetidae","Rodentia",4,13,4,6,-65.0000000000003,-24.0155502468951
"89","Akodon cursor","cursor","Akodon","Cricetidae","Rodentia",71,1341,43,36,-56.4346491791792,-25.3237993986068
"90","Akodon dayi","dayi","Akodon","Cricetidae","Rodentia",2,20,2,14,-64.1191826169035,-15.9122300929285
"91","Akodon dolores","dolores","Akodon","Cricetidae","Rodentia",22,264,20,46,-65.5200049466215,-32.1534069441658
"92","Akodon fumeus","fumeus","Akodon","Cricetidae","Rodentia",1,6,1,20,-66.1927981965561,-16.2097464630762
"93","Akodon iniscatus","iniscatus","Akodon","Cricetidae","Rodentia",8,111,8,27,-69.9999999999999,-40.1174999893192
"94","Akodon josemariarguedasi","josemariarguedasi","Akodon","Cricetidae","Rodentia",1,1,1,2,NA,NA
"95","Akodon juninensis","juninensis","Akodon","Cricetidae","Rodentia",0,0,0,NA,-75.7983153988249,-10.6128805755357
"96","Akodon kofordi","kofordi","Akodon","Cricetidae","Rodentia",0,0,0,NA,-65.9999999999999,-17.0026683611809
"97","Akodon latebricola","latebricola","Akodon","Cricetidae","Rodentia",1,16,1,9,NA,NA
"98","Akodon leucolimnaeus","leucolimnaeus","Akodon","Cricetidae","Rodentia",9,99,5,23,NA,NA
"99","Akodon lindberghi","lindberghi","Akodon","Cricetidae","Rodentia",11,213,10,32,-47,-15
"100","Akodon lutescens","lutescens","Akodon","Cricetidae","Rodentia",1,16,1,9,-65.0000000000001,-27.0400709423023
"101","Akodon mimus","mimus","Akodon","Cricetidae","Rodentia",1,6,1,20,-66.5952083833377,-16.6074080349395
"102","Akodon molinae","molinae","Akodon","Cricetidae","Rodentia",41,614,31,53,-62.9890021541808,-37.4509861147655
"103","Akodon mollis","mollis","Akodon","Cricetidae","Rodentia",10,86,9,40,-79.3329926941428,-3.0096364976655
"104","Akodon montensis","montensis","Akodon","Cricetidae","Rodentia",108,1548,61,27,-54.4938066084725,-25.5378136454516
"105","Akodon mystax","mystax","Akodon","Cricetidae","Rodentia",2,53,2,21,NA,NA
"106","Akodon neocenus","neocenus","Akodon","Cricetidae","Rodentia",1,13,1,13,-66.9999999999993,-41.0075873575485
"107","Akodon oenos","oenos","Akodon","Cricetidae","Rodentia",11,111,7,23,-69,-33
"108","Akodon orophilus","orophilus","Akodon","Cricetidae","Rodentia",7,96,6,16,-76.8050900103908,-8.31115143858142
"109","Akodon paranaensis","paranaensis","Akodon","Cricetidae","Rodentia",17,295,14,19,-55,-27
"110","Akodon pervalens","pervalens","Akodon","Cricetidae","Rodentia",0,0,0,NA,-64.0000000000002,-23.0037047626268
"111","Akodon philipmyersi","philipmyersi","Akodon","Cricetidae","Rodentia",2,9,2,11,54.0000000000001,68.0866027425316
"112","Akodon polopi","polopi","Akodon","Cricetidae","Rodentia",2,43,1,12,NA,NA
"113","Akodon reigi","reigi","Akodon","Cricetidae","Rodentia",2,17,2,9,NA,NA
"114","Akodon sanctipaulensis","sanctipaulensis","Akodon","Cricetidae","Rodentia",2,65,2,32,-46.9999999999998,-24.0155502468949
"115","Akodon serrensis","serrensis","Akodon","Cricetidae","Rodentia",14,292,9,24,-45.9999999999998,-23.0037047626266
"116","Akodon siberiae","siberiae","Akodon","Cricetidae","Rodentia",1,1,1,2,-64.9999999999999,-17.0026683611809
"117","Akodon simulator","simulator","Akodon","Cricetidae","Rodentia",11,126,10,32,-64.7588732306748,-25.6361547193926
"118","Akodon spegazzinii","spegazzinii","Akodon","Cricetidae","Rodentia",9,99,5,23,-66.4036724568887,-27.2733667494876
"119","Akodon subfuscus","subfuscus","Akodon","Cricetidae","Rodentia",0,0,0,NA,-72.2459817284589,-14.5143037830521
"120","Akodon surdus","surdus","Akodon","Cricetidae","Rodentia",1,16,1,9,-73,-13
"121","Akodon sylvanus","sylvanus","Akodon","Cricetidae","Rodentia",1,40,1,12,-65.0000000000003,-24.0155502468951
"122","Akodon toba","toba","Akodon","Cricetidae","Rodentia",6,53,6,17,-62.2394045378914,-22.8559956493432
"123","Akodon torques","torques","Akodon","Cricetidae","Rodentia",2,8,2,6,-71.4972219223353,-12.506118905678
"124","Akodon varius","varius","Akodon","Cricetidae","Rodentia",6,91,5,20,-64.0728375333477,-22.2207283772505
"125","Alcelaphus buselaphus","buselaphus","Alcelaphus","Bovidae","Artiodactyla",133,2461,82,93,36.714186506886,-1.86046079413066
"126","Alces alces","alces","Alces","Cervidae","Artiodactyla",1938,52228,499,120,16.7187407058588,64.1721186930234
"127","Alces americanus","americanus","Alces","Cervidae","Artiodactyla",60,522,34,13,-65.9999999999998,49.0100411447025
"128","Alionycteris paucidentata","paucidentata","Alionycteris","Pteropodidae","Chiroptera",1,15,1,23,125,9
"129","Allactaga balikunica","balikunica","Allactaga","Dipodidae","Rodentia",0,0,0,NA,100.000000000001,43.0081393014272
"130","Allactaga bullata","bullata","Allactaga","Dipodidae","Rodentia",0,0,0,NA,104.999999999999,43.0081393014265
"131","Allactaga elater","elater","Allactaga","Dipodidae","Rodentia",14,86,10,48,77.0155424599234,45.0553937430708
"132","Allactaga euphratica","euphratica","Allactaga","Dipodidae","Rodentia",11,117,6,54,46.1980699628516,37.1254778341391
"133","Allactaga firouzi","firouzi","Allactaga","Dipodidae","Rodentia",8,48,5,13,51,31
"134","Allactaga hotsoni","hotsoni","Allactaga","Dipodidae","Rodentia",3,14,3,13,65.6621713765454,29.6851343618564
"135","Allactaga major","major","Allactaga","Dipodidae","Rodentia",4,37,4,20,32.9819171360795,46.0361770170796
"136","Allactaga severtzovi","severtzovi","Allactaga","Dipodidae","Rodentia",0,0,0,NA,60.9999999999994,43.0081393014265
"137","Allactaga sibirica","sibirica","Allactaga","Dipodidae","Rodentia",24,85,17,62,92.5185210837689,48.3583240236622
"138","Allactaga tetradactyla","tetradactyla","Allactaga","Dipodidae","Rodentia",9,78,6,61,28,31.0052443078997
"139","Allactaga toussi","toussi","Allactaga","Dipodidae","Rodentia",1,5,1,6,NA,NA
"140","Allactaga vinogradovi","vinogradovi","Allactaga","Dipodidae","Rodentia",0,0,0,NA,NA,NA
"141","Allactaga williamsi","williamsi","Allactaga","Dipodidae","Rodentia",12,79,4,54,34.9999999999999,39.0070679488901
"142","Allactodipus bobrinskii","bobrinskii","Allactodipus","Dipodidae","Rodentia",0,0,0,NA,64.0000000000001,43.0081393014269
"143","Allenopithecus nigroviridis","nigroviridis","Allenopithecus","Cercopithecidae","Primates",21,566,17,69,17,-2.00121958443328
"144","Allocebus trichotis","trichotis","Allocebus","Cheirogaleidae","Primates",12,200,7,31,49,-19
"145","Allocricetulus curtatus","curtatus","Allocricetulus","Cricetidae","Rodentia",11,28,7,11,111.999999999999,43.0081393014265
"146","Allocricetulus eversmanni","eversmanni","Allocricetulus","Cricetidae","Rodentia",16,45,9,16,-58.9999999999998,-17.0026683611808
"147","Alouatta arctoidea","arctoidea","Alouatta","Atelidae","Primates",4,19,4,10,-67.6662655309194,9.34277716285636
"148","Alouatta belzebul","belzebul","Alouatta","Atelidae","Primates",51,1018,32,52,-52.2286242306345,-3.62215029739086
"149","Alouatta caraya","caraya","Alouatta","Atelidae","Primates",343,6511,135,57,-56.9890437410794,-27.0373326096809
"150","Alouatta discolor","discolor","Alouatta","Atelidae","Primates",3,27,3,13,-54.9999999999998,-9.00138234307659
"151","Alouatta guariba","guariba","Alouatta","Atelidae","Primates",131,1650,56,24,-44.4310479874363,-22.451036448537
"152","Alouatta juara","juara","Alouatta","Atelidae","Primates",2,6,2,3,NA,NA
"153","Alouatta macconnelli","macconnelli","Alouatta","Atelidae","Primates",14,605,12,24,-57,3.77460575994237
